job_id;crunchr_job_id;crunchr_employee_id;crunchr_person_id;crunchr_position_id;employee_id;position_id;first_name;last_name;gender;date_of_birth;date_in_service;date_in_position;fte;employee_status;employee_grade;title;position_grade;solid_line;dotted_line;business_unit_level0;business_unit_level1;business_unit_level2;business_unit_level3;functional_area_level0;functional_area_level1;functional_area_level2;functional_area_level3;location_level0;location_level1;location_level2;location_level3;contract_type;talent_status;potential;mobility;performance_status;retention_risk;retention_risk_reason;solid_line_layer;base_salary;currency;crunchr_reward_id;hire_type;leave_type;cost_center_level0;cost_center_level1;cost_center_level2;cost_center_level3;legal_entity_level0;legal_entity_level1;legal_entity_level2;legal_entity_level3
1;;;;;1;1;Barton;Barbiusa;M;1954-12-08;1992-01-05;2008-04-25;1;Active;Hay Grade 25;CEO;Hay Grade 25;;;Global;Sugar & Sweets;;;Global;;;;Global;Europe;Netherlands;Amsterdam;Permanent;;High;Unknown;Medium;Unknown;Unknown;1;195758;EUR;;;;Global;22794;227948;;Sugar & Sweets Holding;Sweet company inc;;
2;;;;;2;2;Lottie;Verweij;F;1954-10-24;1982-11-27;2011-05-19;1;Active;Hay Grade 23;Chief R&D Officer;Hay Grade 21;1;1;Global;Sugar & Sweets;;;Global;R&D;;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;Local;Medium;Unknown;Unknown;;105409;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Internet trading inc;;
3;;;;;3;3;Emin;Al-Fayed;M;1974-04-02;2014-04-13;2014-09-30;1;Active;Hay Grade 17;Director Research and Design;Hay Grade 17;2;2;Global;Sugar & Sweets;;;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;High;Unknown;High;Unknown;Unknown;;69851;EUR;;;;Global;24216;242166;;Sugar & Sweets Holding;Candy sugar store inc;;
4;;;;;4;4;Xavier;Nakisa;M;1960-02-18;1993-03-19;2011-05-22;1;Active;Hay Grade 17;Director Prototype testing;Hay Grade 17;2;2;Global;Sugar & Sweets;;;Global;R&D;Prototype Testing;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Regional;Medium;Unknown;Unknown;;83693;EUR;;;;Global;24492;244922;;Sugar & Sweets Holding;Candy sugar store inc;;
5;;;;;5;5;Vittore;Urrutia Rivera  ;M;1970-08-09;2010-11-09;2014-09-30;1;Active;Hay Grade 17;Director Innovation;Hay Grade 17;2;2;Global;Sugar & Sweets;;;Global;R&D;Innovation;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;High;Unknown;Medium;Unknown;Unknown;;87027;EUR;;;;Global;24216;242166;;Sugar & Sweets Holding;Internet trading inc;;
6;;;;;6;6;Julian;Batrawi;M;1972-09-13;1993-03-29;2010-07-08;0.7;Active;Hay Grade 16;VP;Hay Grade 16;3;2;Global;Sugar & Sweets;Icecream;;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Global;Medium;Unknown;Unknown;;36511;EUR;;;;Global;24492;244923;;Sugar & Sweets Holding;Sweet company inc;;
7;;;;;7;7;Francis;Abdelsatta;M;1961-12-10;1979-06-15;2008-03-30;1;Active;Hay Grade 16;VP;Hay Grade 16;3;2;Global;Sugar & Sweets;Cakes;;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Medium;None;None;;71321;EUR;;;;Global;24216;242169;;Sugar & Sweets Holding;Sweet company inc;;
8;;;;;8;8;Do;Medhat;M;1975-02-13;2011-08-08;2014-09-30;1;Active;Hay Grade 16;VP;Hay Grade 16;4;2;Global;Sugar & Sweets;Candy;;Global;R&D;Prototype Testing;;Global;Europe;United Kingdom;London;Permanent;;Medium;Unknown;Medium;High;Career;;57840;GBP;;;;Global;24492;244929;;Sugar & Sweets Holding;Internet trading inc;;
9;;;;;9;9;Anne;Harnoncourt;F;1977-05-04;2004-09-01;2012-05-30;1;Active;Hay Grade 16;VP;Hay Grade 16;4;2;Global;Sugar & Sweets;Icecream;;Global;R&D;Prototype Testing;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;None;Medium;High;Manager;;64661;EUR;;;;Global;24492;244927;;Sugar & Sweets Holding;Candy sugar store inc;;
10;;;;;10;10;Lin;Roberts;M;1961-09-01;;2008-08-21;1;Active;Hay Grade 16;VP Innovation;Hay Grade 16;5;2;Global;Sugar & Sweets;Candy;;Global;R&D;Innovation;;Global;North America;United States;New York City;Permanent;;Medium;Unknown;High;Unknown;Unknown;;59214;USD;;;;Global;24216;242162;;Sugar & Sweets Holding;Internet trading inc;;
